ProductName,ProductCode,ProductTypeName,ProductMainGroupName,ProductSubGroupName,UOMName,PhysicalStockQty
DASH BOARD,DASH BOARD,FINISHED GOODS,Tube,Truck Bus Radial Tube,Pcs,
10.00 R20 146/143 K 16PR ENDURACE CD-D,1002,FINISHED GOODS,Tyres,Truck Bus Radial Tyre,Pcs,500
10.00 R20 146/143 K 16PR ENDURACE LD-D,1003,FINISHED GOODS,Tyres,Truck Bus Radial Tyre,Pcs,200
10.00 R20 146/143K16PR ENDURACE MA 326-D,1004,FINISHED GOODS,Tyres,Truck Bus Radial Tyre,Pcs,150
