ProductName,ProductCode,ProductTypeName,ProductMainGroupName,ProductSubGroupName,UOMName,PhysicalStockQty
Black Astar,CP2,Raw Material,Assembling,Assembling,Kg,
Black Glass,BGL,Consumable,Assembling,Assembling,Pcs,
Black Gloves,BG01,Consumable,Assembling,Assembling,Pcs,
Block Carrier,BRER,Raw Material,Painting,Painting,Pcs,
Bolt 10x100 WZP,CHRG,Ready to Fit,Assembling,Assembling,Kg,
Bolt 10x50 WZP,COY,Ready to Fit,Assembling,Assembling,Kg,
Brake Hubs,BH2,Raw Material,Assembling,Assembling,Pcs,
Brake Lever,BL,Ready to Fit,Assembling,Assembling,Pcs,
Brake Paddle,BD,Ready to Fit,Assembling,Assembling,Pcs,
Brake Paddle Punja,BPP,Ready to Fit,Assembling,Assembling,Pcs,
Brake Padel,BP,Ready to Fit,Assembling,Assembling,Pcs,
Brake Padel Ring,BPR,Ready to Fit,Assembling,Assembling,Pcs,
Brake Padle Patti,PP2,Ready to Fit,Assembling,Assembling,Pcs,
Brake Padle Rubber,BPRB,Ready to Fit,Assembling,Assembling,Pcs,
Brake Rod 1050 MM,1050BR,Ready to Fit,Assembling,Assembling,Pcs,
Brake Rod 610 MM,BR610,Ready to Fit,Assembling,Assembling,Pcs,
Brake Rod 930 MM,BR 930MM,Ready to Fit,Assembling,Assembling,Pcs,
Brake Rod 930MM,BR930,Ready to Fit,Assembling,Assembling,Pcs,
Brake Spring,BS,Ready to Fit,Assembling,Assembling,Pcs,
Brake Switch,B Switch,Ready to Fit,Assembling,Assembling,Pcs,
Brake Switch Spring,B Switch Spring,Ready to Fit,Assembling,Assembling,Pcs,
Brake Yoke RH,BYR,Ready to Fit,Assembling,Assembling,Pcs,
Buffing Wheel,BW,Consumable,Assembling,Assembling,Pcs,
Bulb 12 V,B12V,Ready to Fit,Assembling,Assembling,Pcs,
Bumper,B1,Raw Material,Fabrication,Fabrication,Kg,
Burette Boroflow Cap.5,BBC5,Ready to Fit,Fabrication,Fabrication,Kg,
Burette Stand,BSD1,Ready to Fit,Fabrication,Fabrication,Pcs,
Butterfly,BTRFLY,Ready to Fit,Fabrication,Fabrication,Pcs,
Button Start,BUST,Ready to Fit,Assembling,Assembling,Pcs,
Buzzer Flasher,BF,Ready to Fit,Assembling,Assembling,Pcs,
C F L 27 Walt,CFL27,Consumable,Assembling,Assembling,Pcs,
C F L 35 Walt,CFL35,Consumable,Assembling,Assembling,Pcs,
C F L 85 Walt,CFL85,Consumable,Assembling,Assembling,Pcs,
Cabal 4MMX4CORE,C4M,Consumable,Assembling,Assembling,Meter,
Cable Tie,Tie001,Raw Material,Assembling,Assembling,Pcs,
Canopy (Roof),CNPY,Ready to Fit,Assembling,Assembling,Pcs,
Canopy CRC,CNCRC,Ready to Fit,Fabrication,Fabrication,Kg,
Canopy Frame Sumfonl,CFSL,Ready to Fit,Assembling,Assembling,Pcs,
Canopy Frame Victory,CFVY,Ready to Fit,Assembling,Assembling,Pcs,
Capactior 10KVR,C10KVR,Finished Good,FinishedGood,Finished Good,Pcs,
CCTV & EPBEX,CCEX,Assets,FinishedGood,Finished Good,Set,
Cell,Cell,Ready to Fit,Assembling,Assembling,Per,
Center Lock,CL,Ready to Fit,Assembling,Assembling,Pcs,
Chair,CH123,Assets,FinishedGood,Finished Good,Pcs,
Challan Book Printing,CBP,Consumable,Dispatch,Dispatch,Per,
Charger 15AMP,AC15AMP,Ready to Fit,Assembling,Assembling,Pcs,
Charging Socket,CS,Ready to Fit,Assembling,Assembling,Pcs,
Chassis Base Sheet,CBS,Raw Material,Fabrication,Fabrication,Kg,
Chassis Bhim,VSF,Ready to Fit,Assembling,Assembling,Pcs,
Chassis front Ghera Sheet,CFGS,Raw Material,Fabrication,Fabrication,Kg,
Chassis Sumfonl,CSSL,Ready to Fit,Assembling,Assembling,Pcs,
Chassis Victory,CSVY,Ready to Fit,Assembling,Assembling,Pcs,
Chemical,CC,Consumable,Assembling,Assembling,Ltr,
chira pin,cp001,Raw Material,Assembling,Assembling,Pcs,
Chuk Nut,CUNU,Ready to Fit,Assembling,Assembling,Pcs,
Civil work material,CIV001,Consumable,Fabrication,Fabrication,Per,
Clamp,CLP,Ready to Fit,Assembling,Assembling,Set,
CNC BRAKE 835 MM,CBM,Consumable,Fabrication,Fabrication,Set,
Co2,C2,Consumable,Assembling,Assembling,Kg,
Coated Fabrics,CFS,Raw Material,Assembling,Assembling,Meter,
Cold Rolled Steel Strip,CRSS,Raw Material,Fabrication,Fabrication,Kg,
COLDSPELL 60,CS60,Ready to Fit,Assembling,Assembling,Pcs,
Contacator,CONT,Ready to Fit,Assembling,Assembling,Pcs,
Controller,CNTRL,Ready to Fit,Assembling,Assembling,Pcs,
Copper Thimble/Lugs,Thim001,Raw Material,Assembling,Assembling,Pcs,
Couple 2 Pin,CPL2,Ready to Fit,Assembling,Assembling,Pcs,
CRC 0.6 MM Sheet,FR1,Raw Material,Fabrication,Fabrication,Kg,
CRC 0.8 MM Sheet,0.8MMCRC,Raw Material,Fabrication,Fabrication,Kg,
CRC 1.5 MM Sheet,1.5MMCRC,Raw Material,Fabrication,Fabrication,Kg,
CRC 2.0 MM Sheet,2.0MMCRC,Raw Material,Fabrication,Fabrication,Kg,
Curtains,CUR,Ready to Fit,Assembling,Assembling,Pcs,
Cutting Blade,CB,Consumable,Assembling,Assembling,Pcs,
Cutting Wheel 12'',CW12,Consumable,Assembling,Assembling,Pcs,
Cutting Wheel 14'',CW,Consumable,Assembling,Assembling,Pcs,
"Cutting wheel 4""",CW4,Consumable,Assembling,Assembling,Pcs,
Cutting Wheel 7'',CW7,Consumable,Fabrication,Fabrication,Pcs,
DB SPN 12 Way DD,DBSPN,Finished Good,FinishedGood,Finished Good,Pcs,
DC Convertor,D C CNVT,Ready to Fit,Assembling,Assembling,Pcs,
Degreasing Chemical (125),DG125,Raw Material,Painting,Painting,Kg,
Dhoti,DT,Consumable,Assembling,Assembling,Meter,
Die 15x3,D15X3,Consumable,Fabrication,Fabrication,Pcs,
Die 25,D25,Consumable,Fabrication,Fabrication,Pcs,
Diferential,Diff.,Ready to Fit,Assembling,Assembling,Pcs,
Differential Chuk Nut,DEFCNT,Ready to Fit,Assembling,Assembling,Pcs,
DIFFERENTIAL GEAR WASHER,DAW001,Raw Material,Assembling,Assembling,Pcs,
differential oil seal,dos001,Raw Material,Assembling,Assembling,Pcs,
Dimond File,DMOF,Raw Material,Fabrication,Fabrication,Pcs,
Dipharagm ( Black& White),DBW1,Raw Material,Painting,Painting,Set,
Drill Bit 5mm,DB5,Consumable,Assembling,Assembling,Pcs,
Drill Bit 6.5mm,DB6.5,Consumable,Assembling,Assembling,Pcs,
Drill Bit 8mm,DB8,Consumable,Assembling,Assembling,Pcs,
Driver Box Bhim,DBB2,Ready to Fit,Assembling,Assembling,Pcs,
Driver Box Sumfonl,DOV,Ready to Fit,Assembling,Assembling,Pcs,
Driver Box Victory,DBV1,Ready to Fit,Assembling,Assembling,Pcs,
Drum Girari,DG,Ready to Fit,Assembling,Assembling,Set,
DS 255A,DS255,Ready to Fit,Fabrication,Fabrication,Per,
E-RICKSHAW DASH BOARD,ERDB001,Ready to Fit,Assembling,Assembling,Set,
E-Scooty Sathi,Ess001,Finished Good,FinishedGood,Finished Good,Pcs,
Elfy Adhesive,AADS,Consumable,Assembling,Assembling,Pcs,
Endorsement Charges,EC1,Assets,Dispatch,Dispatch,Per,
Envelops,Env,Consumable,FinishedGood,Finished Good,Per,
EPE Sheet 25MM,EPE 25MM,Raw Material,Assembling,Assembling,Meter,
EPE Sheets 40MM,EPE 40MM,Raw Material,Assembling,Assembling,Meter,
ERW Round Pipes,ERP,Raw Material,Fabrication,Fabrication,Kg,
F.M,FM,Ready to Fit,Assembling,Assembling,Pcs,
Fastener,FNR,Consumable,FinishedGood,Finished Good,Roll,
Fevicol,FEV001,Consumable,Fabrication,Fabrication,Kg,
Fiber License Angle,FLA,Ready to Fit,Assembling,Assembling,Set,
Fiber Rod,FRD,Ready to Fit,Assembling,Assembling,Pcs,
Fiep Disk,FID2,Consumable,Assembling,Assembling,Pcs,
Filter 130* 130,Fil001,Raw Material,Assembling,Assembling,Pcs,
Fire Cylender,FC,Ready to Fit,Assembling,Assembling,Pcs,
First Aid Kit,FAK,Ready to Fit,Assembling,Assembling,Set,
Flange Bolt 8x30,FLG3x30,Ready to Fit,Assembling,Assembling,Kg,
Flange Bolt 8x50 WZP,CRSH,Ready to Fit,Assembling,Assembling,Kg,
Flange Bolt 8x75,FLNG8X75,Ready to Fit,Assembling,Assembling,Kg,
Flange Bolt M6X16 WZP,6MN,Ready to Fit,Assembling,Assembling,Kg,
Flange Bolt M8X16 WZP,IS,Ready to Fit,Assembling,Assembling,Kg,
Flange Bolt M8X40 WZP,MT8,Ready to Fit,Assembling,Assembling,Kg,
Flange Nut 4 MM,FNUT4,Ready to Fit,Assembling,Assembling,Pcs,
Flange Nut 6 mm,FGNUT6MM,Ready to Fit,Assembling,Assembling,Pcs,
Flange Nut 8 MM,FLNUT8,Ready to Fit,Assembling,Assembling,Pcs,
Flex Banner,FLB,Assets,Assembling,Assembling,Per,
Fogg Light,FLT,Ready to Fit,Assembling,Assembling,Per,
Four Pin Relay,RELAY,Ready to Fit,Assembling,Assembling,Pcs,
Front Axle Bush,FA Bush,Ready to Fit,Assembling,Assembling,Pcs,
Front Axle Rod,FAR,Ready to Fit,Assembling,Assembling,Pcs,
Front Brake Wire,F Break W,Ready to Fit,Assembling,Assembling,Pcs,
Front Comb Lamp LH Victory,FCLL,Ready to Fit,Assembling,Assembling,Pcs,
Front Comb Lamp RH Victory,FCLR,Ready to Fit,Assembling,Assembling,Pcs,
Front Drum Assembly,FDA,Ready to Fit,Assembling,Assembling,Pcs,
Front Drum Bearing,FD Bearing,Ready to Fit,Assembling,Assembling,Set,
Front Drum Brake Shoe Sets,FDBS,Ready to Fit,Assembling,Assembling,Set,
Front Drum Plate,F Drum P,Ready to Fit,Assembling,Assembling,Pcs,
Front Drum Sidd 15,FDS 15,Ready to Fit,Assembling,Assembling,Set,
Front Horn,FH,Ready to Fit,Assembling,Assembling,Pcs,
Front Indicator & Back Glass,FIBG,Ready to Fit,Assembling,Assembling,Set,
Front Indicator Box,FIB,Ready to Fit,Assembling,Assembling,Pcs,
Front Indicator Sumfonl,FIL,Ready to Fit,Assembling,Assembling,Pcs,
Front Mudguard,F Mud,Ready to Fit,Assembling,Assembling,Pcs,
Front Shocker Legs,F S L,Ready to Fit,Assembling,Assembling,Pcs,
Front Shocker Spring,FSS,Ready to Fit,Assembling,Assembling,Set,
FRP Angle,FL,Ready to Fit,Assembling,Assembling,Pcs,
G I Pipe,GIP1,Raw Material,Fabrication,Fabrication,Kg,
Garbage Loader Fiber Sheet,GLFS001,Raw Material,Dispatch,Dispatch,Pcs,
Garbage Loader Roof,GLR001,Raw Material,Dispatch,Dispatch,Pcs,
Garbun Blue,GBE,Raw Material,Painting,Painting,Ltr,
Gas Kit Roll,GR,Consumable,Assembling,Assembling,Roll,
Gear 18 Teeth,GT,Ready to Fit,Assembling,Assembling,Set,
Gear Oil,GO,Consumable,Assembling,Assembling,Ltr,
Gipsym 3x25,GY,Ready to Fit,Assembling,Assembling,Pcs,
Goodwill Electrical Garbage Loader,GEGL001,Finished Good,FinishedGood,Victory Bhim Loader,Per,
Goti 10MM,G10MM,Raw Material,Fabrication,Fabrication,Pcs,
Goti 12MM,GT12MM,Raw Material,Fabrication,Fabrication,Pcs,
Granding White 8*1,GW8*1,Raw Material,Fabrication,Fabrication,Pcs,
Grease,GC,Consumable,Assembling,Assembling,Kg,
Grinding Wheel,GW,Consumable,Assembling,Assembling,Pcs,
GU 163,GU163,Ready to Fit,Fabrication,Fabrication,Per,
GUN Tacker T.P,GT001,Ready to Fit,Assembling,Assembling,Pcs,
H L Switch With Cover,HLSC,Ready to Fit,Assembling,Assembling,Pcs,
Hand Brake wire Sumfonl,BRK WIRE SUMF,Ready to Fit,Assembling,Assembling,Pcs,
Hand Brake Wire Victory,HBW,Ready to Fit,Assembling,Assembling,Pcs,
Hand Brakes,hb,Ready to Fit,Assembling,Assembling,Pcs,
Hand Gloves,HG,Consumable,Assembling,Assembling,Pcs,
HANDLE,H9,Ready to Fit,Assembling,Assembling,Pcs,
Handle Fitting,HF,Ready to Fit,Assembling,Assembling,Pcs,
Head Bolt 10x100 WZP,CS22G,Ready to Fit,Assembling,Assembling,Kg,
Head Bolt 10x70WZP,NewCont,Ready to Fit,Assembling,Assembling,Pcs,
Head Light,HLK,Ready to Fit,Assembling,Assembling,Pcs,
Head Light Bulb,H Light B,Ready to Fit,Assembling,Assembling,Set,
Head Light Bulb Led,HLBL,Ready to Fit,Assembling,Assembling,Pcs,
Head Light With Bulb,HLB,Ready to Fit,Assembling,Assembling,Set,
HeadLight Cover,HLC,Ready to Fit,Assembling,Assembling,Pcs,
Hero Silver,HV,Raw Material,Painting,Painting,Ltr,
Hex Bolt 10x50,HB10X50,Ready to Fit,Assembling,Assembling,Kg,
Hex Nut M12 WZP,IC,Ready to Fit,Assembling,Assembling,Kg,
Hingesh 3'',H3,Raw Material,Assembling,Assembling,Pkt,
Hohomer E-Rickshaw,HER001,Finished Good,FinishedGood,Finished Good,Per,
Holder with Wire,holder,Raw Material,Assembling,Assembling,Pcs,
HR Plate /Sheet,HRPS1,Raw Material,Fabrication,Fabrication,Kg,
HR Plate Sheet,HPST,Raw Material,Fabrication,Fabrication,Kg,
HSD OIL,HO,Consumable,Assembling,Assembling,Ltr,
HTS E Rickshaw,HTSERickshaw,Finished Good,FinishedGood,Finished Good,Per,
Hydraullic Cylinder,HCL001,Ready to Fit,Assembling,Assembling,Pcs,
Inchi Tape,IT,Consumable,Assembling,Assembling,Pcs,
IND STG MT BLACK,ISMB,Raw Material,Painting,Painting,Kg,
Indicator Bulb Double,IBD,Ready to Fit,Assembling,Assembling,Pcs,
Indicator Bulb Single,IBS,Ready to Fit,Assembling,Assembling,Set,
Indicator Jali,IJ,Ready to Fit,Assembling,Assembling,Pcs,
Insulators 110K,I110K,Finished Good,FinishedGood,Finished Good,Pcs,
Inter End Peace,IEP1,Raw Material,Painting,Painting,Pcs,
Inter Lock Peace,ILP1,Raw Material,Painting,Painting,Pcs,
Invertor Welding Machine,IWM,Assets,FinishedGood,Finished Good,Set,
Ivory Glassy Powder,IGP,Raw Material,Painting,Painting,Kg,
Jack,Jck,Consumable,Assembling,Assembling,Pcs,
Jali,J1,Ready to Fit,Assembling,Assembling,Pcs,
Jhulla,JHL,Ready to Fit,Assembling,Assembling,Pcs,
Jhulla Bush,JB,Ready to Fit,Assembling,Assembling,Pcs,
Jhulla Nut Nylock,JNN,Ready to Fit,Assembling,Assembling,Set,
Kabze,KZ,Ready to Fit,Assembling,Assembling,Pcs,
Kamani Bush,KB,Ready to Fit,Assembling,Assembling,Set,
Kamani Nut Bolt Set,KNBS,Ready to Fit,Assembling,Assembling,Pcs,
Kamani Plate Sumfonl,KPF,Ready to Fit,Assembling,Assembling,Pcs,
Kamani Plate Victory,KPV,Ready to Fit,Assembling,Assembling,Pcs,
Kamani Sumfonl,KAMIS,Finished Good,Assembling,Assembling,Pcs,
Kamani Victory,KMNIV,Ready to Fit,Assembling,Assembling,Pcs,
Kan Set,KANST,Ready to Fit,Assembling,Assembling,Pcs,
Kekra Patti,HLB1,Ready to Fit,Assembling,Assembling,Pcs,
Kekra Patti With Kan Set,KPWKS,Ready to Fit,Assembling,Assembling,Set,
Key Ring,KRG,Ready to Fit,Assembling,Assembling,Pcs,
Laptop,LOP,Assets,FinishedGood,Finished Good,Pcs,
Last Box Sumfonl,LBSL,Ready to Fit,Assembling,Assembling,Pcs,
Last Box Victory,LBVY,Ready to Fit,Assembling,Assembling,Pcs,
Led Light,LGT,Ready to Fit,Assembling,Assembling,Pcs,
Led Meter,LM,Ready to Fit,Assembling,Assembling,Pcs,
Leg Of Roof,LR,Ready to Fit,Assembling,Assembling,Pcs,
License Light,LL,Ready to Fit,Assembling,Assembling,Pcs,
License Light Cover,LLC,Ready to Fit,Assembling,Assembling,Pcs,
Light Grey STR,LGST,Raw Material,Painting,Painting,Kg,
Limit Switch,LS,Ready to Fit,Assembling,Assembling,Pcs,
Limit Switch Stand,LSSD,Ready to Fit,Assembling,Assembling,Pcs,
LN Bolt 8x20,LN820,Ready to Fit,Assembling,Assembling,Pcs,
Loader Lock (Kundi),LOADLK,Ready to Fit,Assembling,Assembling,Pcs,
Lower Part With Rod,LPW,Ready to Fit,Assembling,Assembling,Pcs,
LPG CYLINDER,LC001,Consumable,Painting,Painting,Kg,
Lube Oil,LO,Consumable,Assembling,Assembling,Ltr,
Luggage Rack Frame,LRFE,Ready to Fit,Fabrication,Fabrication,Kg,
Lupping Wire,LW,Ready to Fit,Assembling,Assembling,Pcs,
M F BOLT 8X16,MFB,Consumable,Assembling,Assembling,Kg,
M S Angle,MSA,Raw Material,Fabrication,Fabrication,Kg,
M S Bright Bar,MBB,Raw Material,Fabrication,Fabrication,Kg,
M S Channel,MSC,Raw Material,Fabrication,Fabrication,Kg,
M S FLATE,MSF,Raw Material,Fabrication,Fabrication,Kg,
M S Scrap,MSSP,Consumable,Fabrication,Fabrication,Kg,
M Seal,MEL1,Consumable,Assembling,Assembling,Kg,
Machine Service,MACSER,Ready to Fit,Fabrication,Fabrication,Pcs,
Machinery Parts,MPS2,Assets,Fabrication,Fabrication,Pcs,
Magzine,MGZ,Consumable,Dispatch,Dispatch,Per,
Makhi - Brake Rod,MKP,Ready to Fit,Assembling,Assembling,Pcs,
Marker,MK,Consumable,Assembling,Assembling,Pcs,
Mashroom Head Screw,MOHS,Raw Material,Painting,Painting,Pcs,
MCB 32 ATP,MCB32,Consumable,Assembling,Assembling,Pcs,
MCB 63A,MCB 63A,Ready to Fit,Assembling,Assembling,Pcs,
Membrane,MB,Ready to Fit,Assembling,Assembling,Per,
Meter,MTR,Ready to Fit,Assembling,Assembling,Pcs,
Meter Bottom Plate,MBP,Ready to Fit,Assembling,Assembling,Set,
Meter Cover,MV,Ready to Fit,Assembling,Assembling,Pcs,
Meter Lower Plate,MLP,Ready to Fit,Assembling,Assembling,Pcs,
Meter Sticker,MSTKR,Ready to Fit,Assembling,Assembling,Pcs,
Meter Wire,MTR Wire,Ready to Fit,Assembling,Assembling,Pcs,
Middle Box Victory,MBV1,Ready to Fit,Assembling,Assembling,Pcs,
Mig Invertor 300GW,MI300GW,Assets,Fabrication,Fabrication,Set,
Mig Torch 25 AK,MTORCH 25 AK,Ready to Fit,Fabrication,Fabrication,Pcs,
Mig Wire 0.80 MM,MW0.80,Consumable,Fabrication,Fabrication,Kg,
Mig Wire 25 AK,MGW,Consumable,Assembling,Assembling,Roll,
MILITERY GREEN PAINT,MGP001,Raw Material,Painting,Painting,Ltr,
Mirror Frame,MF,Ready to Fit,Assembling,Assembling,Pcs,
Mobile Phone,MOB,Assets,FinishedGood,Finished Good,Pcs,
Monogram,MOG,Ready to Fit,Assembling,Assembling,Pcs,
Motor,Moto,Ready to Fit,Assembling,Assembling,Pcs,
Motor Coil,mc,Ready to Fit,Assembling,Assembling,Pcs,
Motor Wiper,MW,Ready to Fit,Assembling,Assembling,Per,
MS Combination Screw 4x15 mm,MCS4,Ready to Fit,Assembling,Assembling,Pcs,
MS Combination Screw 4x25 mm,SRP,Ready to Fit,Assembling,Assembling,Pcs,
MS Combination screw 5x20,COM5X20,Ready to Fit,Assembling,Assembling,Pcs,
MTS,MTS5,Ready to Fit,Fabrication,Fabrication,Kg,
Nozzal,NZ,Consumable,Assembling,Assembling,Pcs,
Number Plate,NP,Ready to Fit,Assembling,Assembling,Pcs,
Number Plate Stand,NPS,Ready to Fit,Assembling,Assembling,Pcs,
Nut 10 MM,UF30M,Ready to Fit,Assembling,Assembling,Kg,
Nylock Nut M10X1.5,PP,Ready to Fit,Assembling,Assembling,Pcs,
Nylock Nut M12X1.75,LBP,Ready to Fit,Assembling,Assembling,Pcs,
Nylock Nut M8X1.25,RMP,Ready to Fit,Assembling,Assembling,Pcs,
Ocean Freight,OF,Assets,Dispatch,Dispatch,Per,
Office Stationary,OSY,Consumable,Dispatch,Dispatch,Per,
Old & Used Silent DG Set,DGS,Assets,FinishedGood,Finished Good,Set,
On Off Starter,OS,Ready to Fit,Assembling,Assembling,Pcs,
On Off Switch,OOS,Ready to Fit,Assembling,Assembling,Pcs,
Orange STR,OSTR,Raw Material,Painting,Painting,Kg,
Oval Pipe 33x13,OP33X13,Raw Material,Fabrication,Fabrication,Kg,
Oxygen,O2001,Consumable,Fabrication,Fabrication,Per,
Packing Roll,PR,Consumable,Assembling,Assembling,Kg,
Paint Black,HK,Raw Material,Painting,Painting,Ltr,
Paint Blue,HU,Raw Material,Painting,Painting,Ltr,
Paint Clear,PCR,Raw Material,Painting,Painting,Ltr,
Paint Golden,PG001,Raw Material,Painting,Painting,Ltr,
Paint Green,HGN,Raw Material,Painting,Painting,Ltr,
Paint Hose Assembly,PHA1,Raw Material,Painting,Painting,Meter,
Paint Ivory,PT,Consumable,Assembling,Assembling,Ltr,
Paint Light Grey,PLG,Raw Material,Painting,Painting,Ltr,
Paint Mahroon,CP,Raw Material,Painting,Painting,Ltr,
Paint Orange,SKO,Raw Material,Painting,Painting,Kg,
PAINT PINK,PP001,Consumable,Painting,Painting,Ltr,
Paint Powder Black,PPB001,Raw Material,Painting,Painting,Kg,
Paint Powder Green,PPG001,Raw Material,Painting,Painting,Kg,
Paint Powder Lemon Metallic,PPLM001,Raw Material,Painting,Painting,Kg,
Paint Powder Silver Grey Glossy,PPSG001,Raw Material,Painting,Painting,Kg,
Paint Powder TPR Blue,PPBL001,Raw Material,Painting,Painting,Kg,
Paint Powder TPR Red,PPR001,Raw Material,Painting,Painting,Kg,
Paint Purpule,HPP1,Raw Material,Painting,Painting,Ltr,
Paint Red,SCR,Ready to Fit,Painting,Painting,Ltr,
Paint Service,PS001,Consumable,Painting,Painting,Ltr,
Paint Silver,HS,Raw Material,Painting,Painting,Ltr,
Paint Volve,PLV,Raw Material,Painting,Painting,Pcs,
Paint White,SV,Raw Material,Painting,Painting,Ltr,
Paint Yellow,G,Raw Material,Painting,Painting,Ltr,
Parting Wheel 8*2,PW8*2,Consumable,Fabrication,Fabrication,Pcs,
PASSIVATION,PN,Raw Material,Painting,Painting,Kg,
Peacock Green,PKG,Raw Material,Painting,Painting,Ltr,
Pedstal Fan,PDF1,Consumable,Assembling,Assembling,Pcs,
PH 1nd Paper,P1P,Ready to Fit,Fabrication,Fabrication,Pcs,
PHOSCOAT 353,P3,Raw Material,Painting,Painting,Kg,
Pipe 19x05*2.0,P 19x05,Raw Material,Fabrication,Fabrication,Kg,
Pipe 20X20,20x20P,Raw Material,Fabrication,Fabrication,Kg,
Pipe 20X40,20x40P,Raw Material,Fabrication,Fabrication,Kg,
Pipe 25X25,25x25P,Raw Material,Fabrication,Fabrication,Kg,
Pipe 25X40,25x40P,Raw Material,Fabrication,Fabrication,Kg,
Pipe 25x40*2.5,P25x40,Raw Material,Fabrication,Fabrication,Kg,
Pipe 40X50,40x50P,Raw Material,Fabrication,Fabrication,Kg,
Pipe 40X60,40x60P,Raw Material,Fabrication,Fabrication,Kg,
Pipe 50x30,50x30P,Raw Material,Fabrication,Fabrication,Kg,
Pipe 50x30*2.0,P 50X30,Raw Material,Fabrication,Fabrication,Kg,
Pipe 50X50,50x50P,Raw Material,Fabrication,Fabrication,Kg,
Pipe 50x50*2.0,P 50x50,Raw Material,Fabrication,Fabrication,Kg,
Pipe 50X70,50x70P,Raw Material,Fabrication,Fabrication,Kg,
Pipe 80x40,P 80X40,Raw Material,Fabrication,Fabrication,Kg,
Pipe Binding Machine,PBME,Assets,Fabrication,Fabrication,Pcs,
Pipe Cutting Die 1 No.,PCD1,Assets,Fabrication,Fabrication,Pcs,
Pipe Cutting Die 2 No.,PCD2,Assets,Fabrication,Fabrication,Pcs,
Pipe Cutting Machine,PCM001,Assets,Fabrication,Fabrication,Pcs,
Pipette Serological,PPE2,Ready to Fit,Fabrication,Fabrication,Pcs,
Plastic Sheet Roll Box,SRB,Consumable,Dispatch,Dispatch,Kg,
Plastic Strip,PS,Raw Material,Assembling,Assembling,Kg,
Ply 3x6,BRP1,Raw Material,Assembling,Assembling,Pcs,
PPGI Sheet,PPGS,Raw Material,Fabrication,Fabrication,Kg,
Primer,PMR,Raw Material,Painting,Painting,Ltr,
Primer Grey,PGY,Raw Material,Painting,Painting,Ltr,
PU Foam 12*34 Seat,PU 12*34,Ready to Fit,Assembling,Assembling,Kg,
PU Foam 16*34 Seat,PU16*34,Ready to Fit,Assembling,Assembling,Kg,
