ProductName,ProductCode,ProductTypeName,ProductMainGroupName,ProductSubGroupName,UOMName,PhysicalStockQty
0.8 MM Tip,MT,Consumable,Assembling,Assembling,Pcs,
1/2'' 2 Coil,1/2C,Assets,Fabrication,Fabrication,Pcs,
25 Gurmoth,25   GRMT,Ready to Fit,Assembling,Assembling,Pcs,
38 Gurmoth,38 Gurmoth,Ready to Fit,Assembling,Assembling,Pcs,
4'' Angle Grinder G10,AG10,Raw Material,Assembling,Assembling,Pcs,
4'' Angle Grinder M100,AM100Grinder,Raw Material,Assembling,Assembling,Pcs,
5 Ply Box Big,5P,Raw Material,Assembling,Assembling,Pcs,
5 Ply Box Small,PBS,Raw Material,Assembling,Assembling,Kg,
530 MM Brake Rod,530BR,Ready to Fit,Assembling,Assembling,Pcs,
5MM Sleeve,Slv001,Consumable,Assembling,Assembling,Pcs,
Accelerator,ACLTR,Ready to Fit,Assembling,Assembling,Pcs,
Activator,Act001,Raw Material,Painting,Painting,Kg,
ADHESIVE  LIQUID,AL001,Consumable,Fabrication,Fabrication,Kg,
Air Bubbles Roll,ABRO,Consumable,Dispatch,Dispatch,Kg,
ALUMINIUM SHEET,ASHE,Raw Material,Fabrication,Fabrication,Kg,
Angle Punching Die,APD1,Assets,Fabrication,Fabrication,Pcs,
Argon Cylender,ACD,Consumable,Fabrication,Fabrication,Pcs,
Assembled Desktop,ADTP,Assets,Assembling,Assembling,Set,
Automobile Lighting Parts,APL,Raw Material,Assembling,Assembling,Pcs,
Back Bumper,BM,Ready to Fit,Assembling,Assembling,Pcs,
Back Glass,BG,Ready to Fit,Assembling,Assembling,Pcs,
Back Horn,BH,Ready to Fit,Assembling,Assembling,Pcs,
Back indicator LH With RR Bulb Victory,TALR,Ready to Fit,Assembling,Assembling,Pcs,
Back indicator RH With RR Bulb Victory,TARB,Ready to Fit,Assembling,Assembling,Pcs,
Back Indicator Sumfonl,BIL,Ready to Fit,Assembling,Assembling,Pcs,
Back Mudguard,BMD,Ready to Fit,Assembling,Assembling,Pcs,
Back Mudguard Rubber,BMR,Ready to Fit,Assembling,Assembling,Pcs,
Balancing Rod,BRO,Ready to Fit,Assembling,Assembling,Pcs,
Balancing Rod Pin,BRP,Ready to Fit,Assembling,Assembling,Pcs,
Battery CAP,BCAP,Ready to Fit,Assembling,Assembling,Pcs,
Battery Patti,B PATTI,Ready to Fit,Assembling,Assembling,Pcs,
Battery Tray,BT,Ready to Fit,Assembling,Assembling,Pcs,
Battery Wire,BATWR,Ready to Fit,Assembling,Assembling,Pcs,
Beaker 50ml,B50ML,Ready to Fit,Fabrication,Fabrication,Pcs,
Bearing Cover,BC,Ready to Fit,Assembling,Assembling,Pcs,
Bicycle,BYL,Finished Good,FinishedGood,Finished Good,Pcs,
Biding,BN,Ready to Fit,Assembling,Assembling,Meter,
Big U Clamp Binding Die,BUCBD,Assets,Fabrication,Fabrication,Pcs,
Big U Clamp Binding Die 2,BUCB2,Assets,Fabrication,Fabrication,Pcs,
Biscuit,S23,Consumable,FinishedGood,Finished Good,Kg,
