ProductName,ProductCode,ProductTypeName,ProductMainGroupName,ProductSubGroupName,UOMName,PhysicalStockQty
0.8 MM Tip,MT,,Assembling,Assembling,Kg,
1/2'' 2 Coil,1/2C,,Fabrication,Fabrication,Kg,
25 Gurmoth,25   GRMT,Consumable,Assembling,Assembling,Kg,
38 Gurmoth,38 Gurmoth,Consumable,Assembling,Assembling,Kg,
4'' Angle Grinder G10,AG10,FINISHED GOODS,Assembling,Assembling,Kg,
4'' Angle Grinder M100,AM100Grinder,FINISHED GOODS,Assembling,Assembling,Kg,
5 Ply Box Big,5P,FINISHED GOODS,Assembling,Assembling,Kg,
5 Ply Box Small,PBS,FINISHED GOODS,Assembling,Assembling,Kg,
530 MM Brake Rod,530BR,Consumable,Assembling,Assembling,Kg,
Acceleator,ACLTR,Consumable,Assembling,Assembling,Kg,
Air Bubbles Roll,ABRO,,Dispatch,Dispatch,Kg,
ALLOY WHEEL,AW,Ready to Fit,Assembling,Assembling,Per,
ALUMINIUM SHEET,ASHE,FINISHED GOODS,Fabrication,Fabrication,Kg,
Angle Punching Die,APD1,,Fabrication,Fabrication,Kg,
Argon Cylender,ACD,,Fabrication,Fabrication,Kg,
Assembled Desktop,ADTP,,Assembling,Assembling,Kg,
